dataid,totalConsumption,morningTotal,morningMean,morningSTD,noonTotal,noonMean,noonSTD,nightTotal,nightMean,nightSTD,elseConsumption
35,11222,3316,18.120218579234972,17.47056152992234,1003,5.48087431693989,7.198847456367635,3777,20.639344262295083,12.961522864997157,3126
44,9396,2182,15.152777777777779,13.658188144664786,1362,9.458333333333334,5.516232359540743,1549,10.756944444444445,6.418556569927387,4303
77,5820,1975,10.792349726775956,6.158254174584229,631,3.448087431693989,5.335342943075408,1778,9.71584699453552,6.283478224641202,1436
94,23716,6058,33.10382513661202,28.21686386070141,2232,12.19672131147541,18.590337409200146,4201,22.956284153005466,22.72929914767267,11225
114,17004,4458,24.360655737704917,26.090028738389847,1799,9.830601092896174,12.611849020039095,3656,19.97814207650273,25.496374173628535,7091
187,22220,4217,26.19254658385093,20.122456022366,3414,21.204968944099377,17.331663485093582,3778,23.46583850931677,18.718918273114387,10811
222,65224,11636,63.58469945355191,74.21363480540413,10656,58.22950819672131,75.36912300827719,10040,54.86338797814208,70.39209409391069,32892
252,22120,7040,38.46994535519126,44.24976210608484,2645,14.453551912568306,25.508528006239786,3533,19.306010928961747,21.192181178531523,8902
370,12936,2451,13.39344262295082,16.48839169919076,2386,13.03825136612022,15.143166007268766,2519,13.765027322404372,14.086558367415291,5580
483,22774,5862,32.032786885245905,41.707005824636,2119,11.579234972677595,24.147158256692435,4031,22.027322404371585,27.69514599004159,10762
484,14876,2960,16.174863387978142,13.200514224870533,2076,11.344262295081966,12.090576078924954,3616,19.759562841530055,14.923744377902617,6224
661,25900,9520,52.021857923497265,45.55390205214626,3165,17.295081967213115,20.613283633418316,3422,18.69945355191257,19.680018151808014,9793
739,14154,4394,24.010928961748633,18.668810104603065,1126,6.1530054644808745,9.586453285527373,1946,10.633879781420765,14.340601146097367,6688
744,23022,5184,28.327868852459016,30.759274035224845,2220,12.131147540983607,14.797513537073417,3226,17.628415300546447,20.87809166797526,12392
871,15700,4871,26.617486338797814,30.737494595516015,508,2.7759562841530054,8.403685831879393,1448,7.912568306010929,13.238997100365133,8873
1042,15336,5088,28.11049723756906,36.9544882145629,1934,10.685082872928177,11.354423219635185,2450,13.535911602209945,15.083380883114833,5864
1086,21762,8242,45.03825136612022,39.010068214230174,2868,15.672131147540984,14.81476295690009,3308,18.07650273224044,21.793232137617654,7344
1103,13878,3639,30.325,34.35723177149172,1923,16.025,17.625011820327007,2050,17.083333333333332,18.991043210477468,6266
1185,20412,6400,34.97267759562842,36.03253412932958,1578,8.62295081967213,15.199040738812927,2900,15.846994535519126,14.783633663633463,9534
1283,24588,8611,47.05464480874317,33.62794290466668,4429,24.202185792349727,25.447633912115364,3416,18.666666666666668,15.832916301669279,8132
1403,966,246,12.947368421052632,14.073018919046648,153,8.052631578947368,10.898931305458715,136,7.157894736842105,7.801910413109268,431
1415,17866,3450,21.428571428571427,19.181614607560345,2664,16.546583850931675,15.173510061438781,3086,19.167701863354036,15.785533130346,8666
1507,32354,10310,56.33879781420765,41.20739193964255,3276,17.901639344262296,19.32243373387478,3862,21.103825136612024,15.487175608197562,14906
1556,17504,5160,28.19672131147541,24.63957876484941,1770,9.672131147540984,13.612981563306022,2947,16.103825136612024,16.90459040098755,7627
1589,35106,10189,55.677595628415304,53.815408957040674,2487,13.59016393442623,19.98883052794147,3780,20.65573770491803,24.560543179791292,18650
1619,10176,2623,16.29192546583851,19.189036644617726,939,5.832298136645963,8.210912315569548,1359,8.440993788819876,10.17538420566421,5255
1697,20104,5105,27.896174863387976,28.724908492143037,2692,14.710382513661202,13.658930958740896,4757,25.994535519125684,14.197474287716734,7550
1714,23116,8399,45.89617486338798,49.57971046997312,1386,7.573770491803279,11.02722762852793,2514,13.737704918032787,26.213229237969244,10817
1718,19904,6752,36.89617486338798,36.86773192779123,1895,10.3551912568306,14.660439419738218,4510,24.6448087431694,20.64081485983959,6747
1790,56828,11901,65.0327868852459,66.88926512085578,8941,48.85792349726776,64.17702234274377,11649,63.65573770491803,72.36260059137248,24337
1791,10226,3654,19.9672131147541,22.948005291921987,1232,6.73224043715847,11.779365068989451,1869,10.21311475409836,11.23292596866162,3471
1792,7200,1598,10.113924050632912,10.933038237752385,930,5.886075949367089,7.32429171720984,939,5.943037974683544,6.948493754350947,3733
1800,16020,4015,21.939890710382514,33.55497396189846,2026,11.07103825136612,17.18177909303386,2291,12.519125683060109,17.732327161373213,7688
1801,18368,8432,46.076502732240435,51.41648908198373,2405,13.142076502732241,20.142702106399547,4007,21.896174863387976,19.16551823440907,3524
2018,28310,10910,59.61748633879781,65.1003103265297,3839,20.97814207650273,22.702388185717503,4036,22.05464480874317,25.79060844358335,9525
2034,12988,3889,21.25136612021858,23.511006277199247,2149,11.743169398907105,16.057772910003045,1795,9.808743169398907,12.622797056286771,5155
2072,20606,5074,27.726775956284154,32.82062016758332,1392,7.60655737704918,12.239788234164823,4331,23.666666666666668,32.015763421604106,9809
2094,20478,5417,29.601092896174862,27.491864646771372,3343,18.26775956284153,17.5853701896553,3189,17.42622950819672,16.510760541302876,8529
2129,29576,8575,46.85792349726776,38.05017581879408,3418,18.6775956284153,20.63844072959612,3642,19.901639344262296,23.271999346783755,13941
2233,26850,5309,29.17032967032967,26.134659713737538,4285,23.543956043956044,23.974706033748596,4752,26.10989010989011,19.094876218245616,12504
2335,32044,8090,44.20765027322405,53.26314247061381,2919,15.950819672131148,30.287020193876995,8860,48.41530054644809,56.34798385939784,12175
2378,51826,9014,49.80110497237569,53.956030788481314,8094,44.71823204419889,50.853631901146606,8531,47.13259668508287,53.10881239522031,26187
2449,15706,5321,29.07650273224044,19.29961195591507,1799,9.830601092896174,11.11434573240604,2762,15.092896174863387,10.899797151826679,5824
2461,17628,3719,20.3224043715847,27.46462982613742,2487,13.59016393442623,18.17165604945468,2378,12.994535519125684,22.136313233735912,9044
2470,17328,4108,25.51552795031056,24.239259154285175,2622,16.285714285714285,16.381108863425148,2371,14.726708074534162,15.382488865505096,8227
2575,23478,8688,47.47540983606557,40.58975343419109,4297,23.48087431693989,24.208981201617497,2250,12.295081967213115,13.85878537596663,8243
2638,23014,5701,31.324175824175825,29.535587923572198,3189,17.521978021978022,18.54181672641601,3171,17.423076923076923,17.732199413131184,10953
2645,8342,1394,9.547945205479452,5.051898045290628,1379,9.445205479452055,4.9863248908070865,1387,9.5,5.031748518227529,4182
2755,4620,693,40.76470588235294,18.30952632716804,781,45.94117647058823,14.885723868408457,802,47.1764705882353,13.426204816646688,2344
2814,5552,962,40.083333333333336,2.0395397084200697,890,37.083333333333336,8.999614189261425,904,37.666666666666664,8.065702421708574,2796
2818,20876,3857,25.045454545454547,15.501713733955105,3657,23.746753246753247,13.515533001540717,3428,22.25974025974026,16.70904770647359,9934
2945,17214,4654,29.643312101910826,30.96515665404583,3226,20.547770700636942,17.8662567980229,2474,15.757961783439491,13.864862463518973,6860
2946,2052,331,36.77777777777778,13.447658018139794,320,35.55555555555556,12.570787221094179,358,39.77777777777778,0.41573970964154905,1043
2965,13550,3622,20.816091954022987,22.64926414558257,1699,9.764367816091953,10.138506056619665,3325,19.10919540229885,18.484371355555858,4904
2980,10672,3251,17.76502732240437,19.237499833986785,1948,10.6448087431694,10.385970089028602,1110,6.065573770491803,7.604001360641998,4363
3036,3956,974,51.26315789473684,20.786741992416218,490,25.789473684210527,15.568453079928624,581,30.57894736842105,15.315337305678371,1911
3039,15418,2940,16.153846153846153,11.591416942960947,2094,11.505494505494505,13.860271017103244,3471,19.071428571428573,19.0698645282031,6913
3134,15746,5242,28.6448087431694,30.237846998151827,2324,12.699453551912569,13.693856056292745,1471,8.03825136612022,9.77806518135942,6709
3310,14276,7257,46.22292993630573,55.116737574372316,994,6.3312101910828025,11.226327413622762,2431,15.48407643312102,23.496199745724272,3594
3367,21950,6417,35.0655737704918,37.98699900654495,2404,13.136612021857923,18.43309934230091,1940,10.601092896174864,16.491077200137003,11189
3527,23152,7464,40.78688524590164,33.64217757750278,2592,14.163934426229508,18.322413335091248,2344,12.808743169398907,16.583339129130263,10752
3544,9208,2644,14.448087431693988,16.434213417715565,1415,7.73224043715847,9.210317267106992,957,5.229508196721311,6.06808395851017,4192
3577,27160,6790,37.10382513661202,36.24861235877363,3992,21.814207650273225,24.627906675430452,3507,19.16393442622951,22.37791187111852,12871
3635,19486,2658,14.524590163934427,19.301977494923886,2530,13.825136612021858,23.430912789766964,4432,24.218579234972676,31.175447186384417,9866
3723,23062,5688,35.32919254658385,27.947327653113874,2467,15.322981366459627,20.80689162122831,3278,20.36024844720497,23.19417168036561,11629
3778,14726,4124,22.53551912568306,21.305675265079024,2337,12.770491803278688,12.75544685020064,2593,14.169398907103826,11.39929741720517,5672
3849,14884,3299,18.027322404371585,22.989052204164093,2833,15.480874316939891,18.537465100447903,2411,13.174863387978142,19.247369328670175,6341
3893,16584,6182,33.78142076502732,32.11261407423694,2671,14.595628415300547,19.421423090966286,2623,14.333333333333334,21.82076349466218,5108
3918,29272,6082,38.738853503184714,40.079720954699326,4359,27.764331210191084,47.80322459706626,4323,27.53503184713376,27.686030569463245,14508
4029,20450,4803,26.24590163934426,36.75022281083562,2739,14.967213114754099,21.440195547835973,3203,17.502732240437158,31.660575942923,9705
4031,16638,6388,34.90710382513661,44.17175993511213,1730,9.453551912568306,16.171106120988348,2023,11.05464480874317,16.06296584906955,6497
4193,25852,5175,28.434065934065934,29.90926836312836,4473,24.576923076923077,26.74774541971788,4315,23.708791208791208,28.228032004490075,11889
4228,10192,2261,12.631284916201118,14.814997837287143,1457,8.139664804469273,8.182113063831368,1661,9.279329608938548,8.771472780902108,4813
4296,17406,3094,17.68,16.96889254741494,2791,15.948571428571428,14.566603122575017,3233,18.474285714285713,14.85350065246079,8288
4352,19014,4825,28.38235294117647,35.64103278516322,2724,16.023529411764706,16.43738670412361,2741,16.123529411764707,17.37313779819343,8724
4356,23248,5180,28.306010928961747,25.699276359438368,3036,16.59016393442623,18.72000512223232,3638,19.879781420765028,16.979150697905016,11394
4373,23164,4720,29.316770186335404,28.26591177461451,3509,21.795031055900623,22.07500427675862,3896,24.198757763975156,20.113905414002364,11039
4421,10804,2026,11.131868131868131,10.41998164054065,2069,11.368131868131869,11.525017023380235,1496,8.219780219780219,7.877917666800249,5213
4447,12430,2468,13.56043956043956,9.96775988722762,1817,9.983516483516484,11.383656722758133,2967,16.302197802197803,13.526607706619808,5178
4514,28316,9315,50.90163934426229,46.37305543671447,3477,19.0,19.07248182176431,3770,20.601092896174862,17.624790008658085,11754
4671,418,78,1.8571428571428572,0.675116518036087,73,1.7380952380952381,0.757801450611407,57,1.3571428571428572,0.5699385335040869,210
4732,17140,5621,30.715846994535518,34.689821820583084,2017,11.021857923497267,15.808262446437391,2352,12.852459016393443,18.047450570518677,7150
4767,24488,6754,36.90710382513661,45.114875884107235,3430,18.743169398907103,28.625042435528105,3214,17.562841530054644,27.40338490942338,11090
4874,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
4998,26770,8661,47.32786885245902,40.861242466368644,2624,14.33879781420765,26.887642613860844,4095,22.37704918032787,38.35261930671888,11390
5129,12832,4168,22.775956284153004,22.948006593148385,1052,5.748633879781421,9.790269831808374,1669,9.120218579234972,13.694830740949715,5943
5131,17640,4533,24.770491803278688,28.095306246621742,1780,9.726775956284152,12.379327647070346,2677,14.628415300546449,19.171462774666455,8650
5193,19394,5588,34.70807453416149,29.43708730012094,3206,19.91304347826087,21.739105590047913,2734,16.981366459627328,21.469745302405883,7866
5275,17904,3281,17.92896174863388,24.827280573406913,2697,14.737704918032787,23.150896055557368,3198,17.475409836065573,24.179840691582026,8728
5317,446,116,6.105263157894737,3.477669165617219,45,2.3684210526315788,2.005532514027121,187,9.842105263157896,5.304051657829104,98
5395,19216,5041,28.642045454545453,28.04688129474595,2815,15.994318181818182,15.62358981239693,2387,13.5625,16.448492694828246,8973
