,localminute,dataid,meter_value
0,2015-10-01 00:14:44-05,35,93470
1,2015-10-01 00:42:34-05,35,93470
2,2015-10-01 02:02:37-05,35,93470
3,2015-10-01 02:12:38-05,35,93470
4,2015-10-01 02:20:36-05,35,93470
5,2015-10-01 02:23:39-05,35,93470
6,2015-10-01 03:59:41-05,35,93470
7,2015-10-01 04:30:40-05,35,93470
8,2015-10-01 04:34:37-05,35,93470
9,2015-10-01 05:14:35-05,35,93470
10,2015-10-01 05:17:32-05,35,93470
11,2015-10-01 06:23:36-05,35,93472
12,2015-10-01 07:26:51-05,35,93472
13,2015-10-01 08:19:40-05,35,93472
14,2015-10-01 08:44:40-05,35,93472
15,2015-10-01 08:54:30-05,35,93472
16,2015-10-01 09:36:34-05,35,93472
17,2015-10-01 11:24:52-05,35,93474
18,2015-10-01 12:29:40-05,35,93474
19,2015-10-01 15:04:40-05,35,93474
20,2015-10-01 15:20:41-05,35,93474
21,2015-10-01 16:22:43-05,35,93474
22,2015-10-01 17:03:44-05,35,93476
23,2015-10-01 17:11:38-05,35,93476
24,2015-10-01 17:24:32-05,35,93476
25,2015-10-01 17:54:31-05,35,93476
26,2015-10-01 18:02:35-05,35,93476
27,2015-10-01 18:59:38-05,35,93476
28,2015-10-01 19:44:49-05,35,93482
29,2015-10-01 19:57:48-05,35,93482
30,2015-10-01 21:13:46-05,35,93484
31,2015-10-01 21:16:44-05,35,93484
32,2015-10-01 21:33:31-05,35,93484
33,2015-10-01 21:54:36-05,35,93484
34,2015-10-01 22:34:32-05,35,93484
35,2015-10-01 23:07:40-05,35,93484
36,2015-10-01 23:57:49-05,35,93484
37,2015-10-02 00:01:51-05,35,93484
38,2015-10-02 01:14:44-05,35,93484
39,2015-10-02 01:24:44-05,35,93484
40,2015-10-02 02:15:34-05,35,93484
41,2015-10-02 03:35:41-05,35,93486
42,2015-10-02 03:50:46-05,35,93486
43,2015-10-02 04:24:51-05,35,93486
44,2015-10-01 01:00:33-05,77,58832
45,2015-10-01 01:12:34-05,77,58832
46,2015-10-01 01:33:34-05,77,58832
47,2015-10-01 02:34:33-05,77,58832
48,2015-10-01 02:52:34-05,77,58832
49,2015-10-01 03:42:34-05,77,58832
50,2015-10-01 04:09:33-05,77,58832
51,2015-10-01 04:15:33-05,77,58832
