HH1,HH2,corr
35,7287,0.8969488259997584
35,2335,0.8403695898165455
35,2965,0.8076812359337501
35,114,0.7444386591411039
35,1718,0.7395490406685316
44,4228,0.9331471775155105
44,5131,0.8727678087476253
44,8467,0.870068372311045
44,77,0.8683112475320948
44,4296,0.8557101857021431
77,8467,0.8948613445501504
77,44,0.8683112475320948
77,4447,0.8573689892801433
77,484,0.8258082334511335
77,5317,0.8196652318966953
94,739,0.8768246744075813
94,1589,0.7695576112975024
94,7030,0.7624938813025735
94,5972,0.7527017962592701
94,4352,0.741146847033057
114,6910,0.8542699759667836
114,7794,0.8531531555023285
114,5972,0.8325641425704612
114,7674,0.8213062173233608
114,1791,0.8079638070716171
187,4373,0.9303708935762093
187,2129,0.9019481282531512
187,5972,0.897210983902354
187,7674,0.8813329199229947
187,1619,0.8773857864716217
222,2378,0.8993202659210904
222,6505,0.8727175256289128
222,5545,0.8011931209976275
222,6685,0.7990517308676015
222,2645,0.7970606201870488
252,7682,0.8901881030815968
252,5785,0.8895682095990808
252,3310,0.8852055609023516
252,9729,0.8767397629764017
252,4352,0.8655911419600457
370,7016,0.8641427798855368
370,1790,0.7939151731878162
370,3849,0.7621459325195431
370,7900,0.733246517967828
370,2945,0.6845848638228692
483,1415,0.752910113668899
483,4732,0.7254593194338966
483,2638,0.7221617051554096
483,252,0.7206483017819457
483,3310,0.7094938267531246
484,4447,0.9278691654810083
484,8467,0.9072763677728274
484,9278,0.8367600238357866
484,77,0.8258082334511335
484,3039,0.8083999833991683
661,5785,0.944855160002121
661,4352,0.9286140840429384
661,3310,0.9107674385914885
661,4767,0.8911213778627946
661,3893,0.8826243208446823
739,7030,0.9087175508798793
739,5972,0.8996605040345261
739,5636,0.8947687433685145
739,2129,0.8942511791384705
739,4998,0.8859249389822008
744,1415,0.7772843645891842
744,5131,0.7536820171883976
744,6412,0.7078392775008763
744,5892,0.7060101660446495
744,94,0.7031919870088257
871,8890,0.9217175044817558
871,4356,0.8908211914259524
871,1589,0.8628998449117876
871,5636,0.857863441153186
871,7030,0.848878840621636
1042,3310,0.9406777697432418
1042,4352,0.9391615713944141
1042,7989,0.9362660471004401
1042,9631,0.9170546054831598
1042,7965,0.9155877522740075
1086,8244,0.8879035016897107
1086,6412,0.8752240107527223
1086,4732,0.8732384299139058
1086,7794,0.8642531384719445
1086,1103,0.8619694046851815
1103,3577,0.9365583656583714
1103,8829,0.9158472521681086
1103,2233,0.9141645734766457
1103,7682,0.9079522005624431
1103,4732,0.9041163060802029
1185,483,0.27004736986508904
1185,5403,0.2575977090934485
1185,2461,0.16697959951190533
1185,3036,0.140381445355352
1185,8703,0.13697230318310805
1283,7682,0.8915851147411585
1283,8244,0.8614783976062662
1283,1103,0.8442922309940912
1283,7794,0.824782376593692
1283,2094,0.8213610938777152
1403,2470,0.906188683355843
1403,7017,0.9005622207272914
1403,9121,0.8688406596754269
1403,2980,0.8627434352113447
1403,5785,0.8450516506849562
1415,4732,0.9250890764028288
1415,1103,0.8693999563930358
1415,2638,0.8549597193527605
1415,8156,0.8479100290789148
1415,6412,0.8409035710174311
1507,2129,0.9079701523568949
1507,3527,0.9004578028487658
1507,4356,0.8986696110000703
1507,4998,0.8935797730032891
1507,5395,0.884801662285793
1556,8156,0.9197412571224272
1556,9729,0.8591015306699711
1556,3367,0.8456446814057968
1556,2638,0.8288752366723657
1556,7682,0.8227936039213057
1589,5439,0.9561349738874965
1589,5636,0.9432748548663912
1589,4356,0.8841996192565226
1589,7739,0.8813916701794908
1589,739,0.8792862998095574
1619,7739,0.9274458745503703
1619,4373,0.9260830246841393
1619,9639,0.9180162019971317
1619,3723,0.9165461345553112
1619,4356,0.9075754639482433
1697,9982,0.8296234968133085
1697,3039,0.8262253337249179
1697,484,0.7980643416066566
1697,77,0.7694023101736839
1697,7287,0.7563561550295738
1714,3367,0.9159982071769469
1714,1589,0.8558483406394353
1714,5439,0.849707791501495
1714,252,0.8355489424245293
1714,5395,0.829027349680622
1718,7674,0.8769108557136883
1718,4998,0.8473312326397783
1718,7287,0.8459330121978259
1718,7429,0.8426892845636397
1718,1791,0.8361709610121183
1790,9474,0.8785182411386911
1790,2945,0.7969297810227773
1790,370,0.7939151731878162
1790,4193,0.7843965423671415
1790,3893,0.7712177410157126
1791,7674,0.9241128063066871
1791,5972,0.8855101353369791
1791,187,0.8635786153780053
1791,8244,0.8598696933364787
1791,2094,0.8587747552592219
1792,6830,0.947192931945466
1792,4228,0.9450142352316345
1792,4421,0.9052734479615688
1792,8967,0.9049848712221408
1792,4671,0.8991672617519172
1800,2470,0.8583052303447627
1800,7017,0.8406333723663669
1800,5785,0.8373212016061924
1800,5439,0.8237451930015858
1800,4352,0.8183787423166684
1801,4031,0.895161929772311
1801,2018,0.8830239988529448
1801,7429,0.849758499455564
1801,8086,0.8452519335229599
1801,3310,0.8336236699944217
2018,9729,0.9109576744096389
2018,7429,0.9039892101571946
2018,4031,0.9029493124487387
2018,3310,0.8910587494867706
2018,1801,0.8830239988529448
2034,9631,0.9019453456687754
2034,7965,0.8163277797358703
2034,44,0.8083629461854714
2034,1042,0.79778233123225
2034,4029,0.7908917769368842
2072,8829,0.8758137658186842
2072,1556,0.8181221940351366
2072,8156,0.8132230130310012
2072,2638,0.7830225719610867
2072,2233,0.7637084555419572
2094,4193,0.8846392608394748
2094,1791,0.8587747552592219
2094,1103,0.8489405625797464
2094,8244,0.842538916293299
2094,2818,0.8406575792809996
2129,7030,0.9311291168558147
2129,4356,0.9270282501507272
2129,5972,0.9257626928287351
2129,4373,0.9196712366976245
2129,1507,0.9079701523568949
2233,3036,0.9575256436072432
2233,6578,0.9259484796245069
2233,1103,0.9141645734766457
2233,2818,0.8804482120217627
2233,8829,0.8714839497706705
2335,35,0.8403695898165455
2335,114,0.8037843506976574
2335,5484,0.7894955850334939
2335,2965,0.7845495944975519
2335,1801,0.7438919589541062
2378,222,0.8993202659210904
2378,4373,0.8688300584630583
2378,1619,0.8679328823018299
2378,187,0.862394606648741
2378,5545,0.8384730396527577
2449,3778,0.398410990627919
2449,5129,0.37337311875743323
2449,3635,0.3127004783347775
2449,9474,0.29626984722444494
2449,484,0.28577878253950645
2461,2946,0.8340982556475887
2461,2233,0.8133704558940258
2461,3036,0.788230365796088
2461,871,0.7853288298336875
2461,9956,0.7786135308851897
2470,7017,0.9528155466580628
2470,5785,0.9337816932599712
2470,2980,0.9287758388602068
2470,3527,0.9255404177452339
2470,9639,0.9067581638047301
2575,2980,0.9343377221326548
2575,3849,0.8715294671432677
2575,8086,0.8637305951212535
2575,3893,0.8610902769733005
2575,9121,0.8332685639699183
2638,4732,0.9287393369829549
2638,3577,0.9153366212794061
2638,8156,0.9057512514037018
2638,8829,0.8633579167768378
2638,1415,0.8549597193527605
2645,6685,0.9882542611744771
2645,5545,0.9634867675692734
2645,2378,0.8043310714682379
2645,222,0.7970606201870488
2645,6863,0.7935279625508066
2755,6505,0.8756936342426692
2755,871,0.769149623554507
2755,2461,0.7481663812979069
2755,222,0.7475925290437696
2755,2378,0.7297808221311431
2814,5636,0.9195045667035784
2814,9639,0.8514530089680927
2814,2946,0.8512772581522394
2814,7739,0.8466586691485019
2814,3723,0.8240179646812544
2818,2233,0.8804482120217627
2818,6863,0.8802856809540657
2818,3036,0.8786154838823219
2818,2094,0.8406575792809996
2818,4373,0.8190233484296737
2945,3893,0.8593127059776079
2945,2575,0.8286308685885092
2945,7900,0.8160755159075329
2945,1790,0.7969297810227773
2945,3849,0.7600383709794689
2946,7739,0.9193715536192827
2946,9639,0.8877724572233259
2946,2814,0.8512772581522394
2946,1619,0.8442454316888643
2946,5636,0.8420575956366328
2965,9982,0.8288032337791397
2965,7989,0.8192444005368514
2965,5484,0.8156103778689336
2965,35,0.8076812359337501
2965,7682,0.7991999345881515
2980,2575,0.9343377221326548
2980,2470,0.9287758388602068
2980,9121,0.8914402695401965
2980,7017,0.8874798791068169
2980,1403,0.8627434352113447
3036,2233,0.9575256436072432
3036,1103,0.8930794157810836
3036,6578,0.8911548913334039
3036,2818,0.8786154838823219
3036,3577,0.8704405124251955
3039,1697,0.8262253337249179
3039,9982,0.8198627448416249
3039,484,0.8083999833991683
3039,4447,0.7995011762195158
3039,7919,0.7831997699576696
3134,5129,0.45704149877066014
3134,2072,0.4255329303232392
3134,2755,0.29353801788775813
3134,1556,0.2740350406474855
3134,2818,0.25409960631109985
3310,1042,0.9406777697432418
3310,7989,0.9228168578011839
3310,661,0.9107674385914885
3310,6412,0.910187563943066
3310,4352,0.9092759503978559
3367,1714,0.9159982071769469
3367,5395,0.8671884911091179
3367,1589,0.8539435373233055
3367,1556,0.8456446814057968
3367,5439,0.840246722479367
3527,5395,0.9379835681610311
3527,5785,0.9367835742758021
3527,2470,0.9255404177452339
3527,4352,0.9228978602304059
3527,5439,0.905955392134628
3544,9620,0.3961513797012503
3544,8155,0.2486792587437117
3544,5814,0.24180836874944814
3544,1403,0.2127884751967987
3544,6836,0.1888919977070045
3577,1103,0.9365583656583714
3577,2638,0.9153366212794061
3577,4732,0.9127276394245009
3577,3036,0.8704405124251955
3577,2233,0.870392280484991
3635,7919,0.7032202734097938
3635,3039,0.5802629343429166
3635,9474,0.5243899088886718
3635,484,0.4948160213098798
3635,5810,0.4056984941506938
3723,1619,0.9165461345553112
3723,7739,0.9164874519622469
3723,4373,0.9101557688874226
3723,9639,0.9037666366581919
3723,5636,0.9030028216134035
3778,1042,0.842083283058973
3778,3893,0.8314615521588221
3778,9631,0.8143800815674843
3778,3310,0.8071695437501007
3778,2575,0.8003828783207529
3849,7016,0.9128845075258666
3849,2575,0.8715294671432677
3849,7900,0.7953748355321579
3849,8086,0.7900543852601151
3849,2980,0.7701858516472603
3893,7460,0.9109121012764577
3893,7900,0.904372978436544
3893,8086,0.9008300248702721
3893,661,0.8826243208446823
3893,2575,0.8610902769733005
3918,9639,0.9137784394421321
3918,1619,0.9010091190161497
3918,7739,0.8815713171850624
3918,2470,0.8791881459423028
3918,5439,0.8737961729975232
4029,5131,0.8661275133145367
4029,8156,0.8334236068877174
4029,6830,0.8196807338576144
4029,9631,0.8015597478621311
4029,9982,0.797041895850176
4031,4998,0.9278426141401344
4031,5972,0.9246337604592557
4031,2018,0.9029493124487387
4031,1801,0.895161929772311
4031,8086,0.8900581768396848
4193,2094,0.8846392608394748
4193,6863,0.8677948465487194
4193,8086,0.8654530036093655
4193,187,0.8648019387776755
4193,9121,0.8629201755678864
4228,1792,0.9450142352316345
4228,5658,0.94178845642454
4228,6830,0.9404785728677887
4228,44,0.9331471775155105
4228,8967,0.9175873033729235
4296,8467,0.9318803077444802
4296,9849,0.8900046670678403
4296,4447,0.8833845889872293
4296,8967,0.8751335375368897
4296,4228,0.8668407631887273
4352,5785,0.9428712751977435
4352,1042,0.9391615713944141
4352,661,0.9286140840429384
4352,3527,0.9228978602304059
4352,3310,0.9092759503978559
4356,2129,0.9270282501507272
4356,4373,0.9244875297266902
4356,7739,0.91098113066209
4356,7030,0.9089631347999584
4356,1619,0.9075754639482433
4373,7674,0.9368051739978832
4373,187,0.9303708935762093
4373,1619,0.9260830246841393
4373,4356,0.9244875297266902
4373,2129,0.9196712366976245
4421,4671,0.9672607748365402
4421,8967,0.9586895266934367
4421,9849,0.943917831842252
4421,5658,0.9410833114869799
4421,1792,0.9052734479615688
4447,8467,0.9445526430221396
4447,484,0.9278691654810083
4447,4296,0.8833845889872293
4447,77,0.8573689892801433
4447,5317,0.838478565726097
4514,6673,0.25970369837419083
4514,9160,0.1377197328546045
4514,1800,0.1363453570616422
4514,7429,0.12940669528495793
4514,7017,0.128690061010651
4671,8967,0.9810925686615047
4671,4421,0.9672607748365402
4671,9849,0.9636806547610881
4671,5658,0.9402439316061214
4671,1792,0.8991672617519172
4732,2638,0.9287393369829549
4732,1415,0.9250890764028288
4732,3577,0.9127276394245009
4732,1103,0.9041163060802029
4732,5785,0.9034629429072453
4767,5785,0.9051363900033204
4767,2470,0.8927168787002991
4767,661,0.8911213778627946
4767,2129,0.8878320660954748
4767,4998,0.8851910246966811
4998,4031,0.9278426141401344
4998,5972,0.9028519361189409
4998,1507,0.8935797730032891
4998,2129,0.8867646184610871
4998,3527,0.8865170601649479
5129,3134,0.45704149877066014
5129,5810,0.38578751697016106
5129,2449,0.37337311875743323
5129,5275,0.2804084089254949
5129,9278,0.26421687537663924
5131,44,0.8727678087476253
5131,4029,0.8661275133145367
5131,4352,0.8060617452347439
5131,9631,0.805741735934796
5131,1042,0.7993951282500018
5193,9631,0.8429661576010709
5193,661,0.8211924829647274
5193,4352,0.7528603011026737
5193,6673,0.7388969667091002
5193,5785,0.7387053637089684
5275,3367,0.7960204980940854
5275,1556,0.7713710867072981
5275,8156,0.7677534210594354
5275,3577,0.7559936077165675
5275,2638,0.7551078202156163
5317,9278,0.8842273656964963
5317,4447,0.838478565726097
5317,8467,0.8303957537528485
5317,77,0.8196652318966953
5317,484,0.8072068533760541
5395,3527,0.9379835681610311
5395,9729,0.9280110876495195
5395,1507,0.884801662285793
5395,8059,0.8758693526489565
5395,4352,0.8688270804466606
5403,1185,0.2575977090934485
5403,6910,0.1802474988291196
5403,1790,0.1763213274026571
5403,5484,0.17055850819484542
5403,5814,0.14954184737501178
5439,1589,0.9561349738874965
5439,5636,0.9097794011896301
5439,3527,0.905955392134628
5439,7739,0.8919604236507744
5439,7017,0.8909191142628609
5484,2965,0.8156103778689336
5484,2335,0.7894955850334939
5484,7989,0.7549605337524607
5484,8084,0.7225222756616545
5484,3778,0.7190234427891953
5545,6685,0.9684546801680189
5545,2645,0.9634867675692734
5545,6863,0.8482138493400665
5545,2378,0.8384730396527577
5545,222,0.8011931209976275
5636,1589,0.9432748548663912
5636,2814,0.9195045667035784
5636,7739,0.9192943120566631
5636,5439,0.9097794011896301
5636,3723,0.9030028216134035
5658,8967,0.9632440379936348
5658,9849,0.9430441761858015
5658,4228,0.94178845642454
5658,4421,0.9410833114869799
5658,4671,0.9402439316061214
5785,661,0.944855160002121
5785,4352,0.9428712751977435
5785,3527,0.9367835742758021
5785,2470,0.9337816932599712
5785,4767,0.9051363900033204
5810,3039,0.7628754002358631
5810,35,0.7173515069946779
5810,2965,0.6678017052157399
5810,5317,0.6200810938211532
5810,9982,0.618857272099996
5814,1619,0.8366083284145702
5814,3918,0.8076983062514508
5814,9052,0.7665326640624268
5814,4356,0.7561266168967875
5814,7566,0.7541977070418181
5892,9052,0.755163238595804
5892,2072,0.7211090537796099
5892,744,0.7060101660446495
5892,1415,0.7019850849813535
5892,3039,0.6552703999655289
5972,7674,0.941314007318795
5972,2129,0.9257626928287351
5972,4031,0.9246337604592557
5972,4998,0.9028519361189409
5972,739,0.8996605040345261
6412,3310,0.910187563943066
6412,7989,0.877417119201765
6412,4732,0.8772844224168969
6412,2018,0.8761458880578099
6412,1086,0.8752240107527223
6505,2755,0.8756936342426692
6505,222,0.8727175256289128
6505,2378,0.8243299461176914
6505,3723,0.7647644568592283
6505,2946,0.7448941387534133
6578,2233,0.9259484796245069
6578,3036,0.8911548913334039
6578,1103,0.8701853170457126
6578,3577,0.8565105674609156
6578,8086,0.8480443309584768
6673,5193,0.7388969667091002
6673,9631,0.6982721006437759
6673,4352,0.695991401355208
6673,8059,0.6798403296227944
6673,661,0.6758966839014514
6685,2645,0.9882542611744771
6685,5545,0.9684546801680189
6685,222,0.7990517308676015
